venue_id,venue_name,city,starting_price,venue_link,address,lattitude,longitude,is_new,locality,locality_zone
846307,AITA Trust Tennis Centre Of Excellence | Santacruz East,Mumbai,370,https://hudle.in/venues/aita-trust-tennis-centre-of-excellence-santacruz-east/846307,"AITA Trust Tennis Courts, inside university of Mumbai, Kolivery Village, Vidya Nagari, Kalina, Santacruz East, Mumbai, Maharashtra",19.073688,72.851317,TRUE,Santacruz,Western Suburbs
139704,Kohinoor City Club | Kurla West,Mumbai,960,https://hudle.in/venues/kohinoor-city-club-kurla-west/139704,"KOHINOOR CITY CLUB, Kirol Road, near Kohinoor Elite Hotel, Kurla West, Kurla, Mumbai, Maharashtra",19.080233,72.885518,TRUE,Kurla,Central Suburbs
960306,Pickle Partners | Heera Panna Mall,Mumbai,250,https://hudle.in/venues/pickle-partners-heera-panna-mall/960306,"3rd Floor Terrace, Heera Panna Mall, Oshiwara Police Station Rd, Mhada Colony, Andheri West, Mumbai.",19.149226,72.831688,FALSE,Andheri,Western Suburbs
127710,Global Sports Pickleball Center | Goregaon West,Mumbai,300,https://hudle.in/venues/the-pickleball-company-by-global-sports-goregaon-west/127710,"Stellar World School, Off New Link Rd, Prarthana Society, Motilal Nagar I, Goregaon West, Mumbai, Maharashtra 400104",19.159095,72.836705,FALSE,Goregaon,Western Suburbs
612250,Global Sports Pickleball Center | Bandra West,Mumbai,450,https://hudle.in/venues/global-sports-pickleball-center-bandra-west/612250,"33rd Rd, Opp. Apsara Market, Bandra West, Maharashtra 400050",19.065451,72.831787,FALSE,Bandra,Western Suburbs
180016,The Cricket Club Of India,Mumbai,200,https://hudle.in/venues/the-cricket-club-of-india/180016,"Stadium House, Churchgate, Mumbai 400020",18.931453,72.824515,FALSE,Churchgate,South Mumbai
122290,Global Sports Pickleball Center | NSM School,Mumbai,450,https://hudle.in/venues/global-sports-pickleball-centre-nsm-school-vile-parle-east/122290,"NSM School, Dixit Road, Vile Parle East, near Ashish Hospital",19.096190,72.846889,FALSE,Vile Parle,Western Suburbs
297284,Manohar Joshi Pickleball Court,Mumbai,700,https://hudle.in/venues/manohar-joshi-pickleball-court/297284,"Manohar Joshi College, Near Maharashtra Nature Park, PMGP Colony, Sion East, Mumbai 400017",19.051183,72.863272,FALSE,Sion,Central Mumbai
186840,Trinity Sports Pickleball | Bandra,Mumbai,375,https://hudle.in/venues/trinity-sports-pickleball/186840,"Khar Danda Centre, Plot No. 308 & 423 Off Carter Road, YMCA Road, near Cafe Coffee Day, Khar Danda, Mumbai",19.071681,72.823114,FALSE,Khar,Western Suburbs
856926,Emma Sports Academy | Powai,Mumbai,375,https://hudle.in/venues/emma-sports-academy-powai/856926,"Plot no.103, Behind Hiranandani Hospital Road, Hariom Nagar, Ramabai Ambedkar Nagar, Powai, Mumbai.",19.120256,72.917956,FALSE,Powai,Central Suburbs
650524,Torba Pickleball Centre,Mumbai,100,https://hudle.in/venues/torba-pickleball-centre/650524,"Torba, Bandra, St. Anne's Basement, Nargis Dutt Road, Pali Hill, Bandra West.",19.064530,72.826383,FALSE,Bandra,Western Suburbs
455484,"Pro World Talent Pickleball | 4 Bunglows, Andheri (West)",Mumbai,800,https://hudle.in/venues/pro-world-talent-pickleball-4-bunglows-andheri-west/455484,"Karmveer Sports Complex, RTO road, Four Bungalows, Near Kokilaben Hospital, Andheri (West), Mumbai - 400053",19.133238,72.826676,FALSE,Andheri,Western Suburbs
488222,PicklePro Club | CSM Sports Complex | Andheri West,Mumbai,325,https://hudle.in/venues/csm-sports-complex-andheri-west/488222,"Chhatrapati Shivaji Maharaj Sports Complex, Veera Desai Rd, Prathamesh Complex, Andheri West",19.136554,72.838544,FALSE,Andheri,Western Suburbs
832112,PicklePro Club | Chembur RCF Colony,Mumbai,325,https://hudle.in/venues/pse-pickle-plus-chembur/832112,"Jawahar Vidhya Bhavan Terrace, 25, Tata Colony Rd, Wadavali Village, RCF Colony, Chembur, Mumbai.",19.039570,72.897495,FALSE,Chembur,Central Suburbs
539638,Willingdon Outdoor Sports Arena | Maali Khata,Mumbai,200,https://hudle.in/venues/willingdon-sports-club/539638,"Willingdon Outdoor Sports Arena at the Maali Khata, Bodyguard Lane, Haji Ali, Mumbai 400 011",18.974717,72.816122,FALSE,Mumbai Central,South Mumbai
600616,Maniac Pickleball Arena | Andheri West,Mumbai,275,https://hudle.in/venues/maniac-pickleball-basketball-arena-andheri-west/600616,"OES International School, Near Infinity Mall, Behind Lotus Petrol Pump, Andheri West, Mumbai.",19.143208,72.832402,FALSE,Andheri,Western Suburbs
496598,Padel 360 | Worli,Mumbai,100,https://hudle.in/venues/padel-360-worli/496598,"Oricon Enterprises Ltd. 1076, Dr. E. Moses Road, Worli,, Worli Naka, Upper Worli, Worli, Mumbai, Maharashtra 400018",18.996469,72.819442,FALSE,Worli,South Mumbai
760372,Global Sports X TSG Pickleball Centre | Balkanji Bari,Mumbai,1200,https://hudle.in/venues/global-sports-pickleball-centre-balkanji-bari/760372,"Santacruz West, Juhu Tara Rd, GOI Staff Colony, Mumbai, Maharashtra 400054",19.084492,72.833496,FALSE,Santacruz,Western Suburbs
614633,The Cheddanagar Gymkhana - ISRAD | Pickleball,Mumbai,450,https://hudle.in/venues/cheddanagar-gymkhana/614633,"Chembur West, Sector 3, Chedda Nagar, Mumbai.",19.069667,72.906734,FALSE,Chembur,Central Suburbs
446434,TSG Pickleball Centre | SVIS School Kandivali (West),Mumbai,500,https://hudle.in/venues/global-sports-pickleball-centre-svis-school-kandivali-west/446434,"MG Cross Road No. 1, Kandivali, Gokul Nagari, Kandivali West, Mumbai.",19.209816,72.847288,FALSE,Kandivali,Western Suburbs
247238,PicklePro Club | Celebrations Sports Club,Mumbai,50,https://hudle.in/venues/victory-pickle-celebrations-sports-club/247238,"Celebration Sports Club, Garden No 5 Andheri West Lokhandwala Complex 400053",19.146337,72.826262,FALSE,Andheri,Western Suburbs
429011,Pickle Partners | Sahara Star,Mumbai,300,https://hudle.in/venues/pickle-partners-sahara-star/429011,"Sahara Star Hotel, Nehru Rd, opp. Domestic Airport, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400099",19.096111,72.853375,FALSE,Vile Parle,Western Suburbs
876806,Maniac x Players Pickleball Academy | Malad,Mumbai,250,https://hudle.in/venues/players-x-maniac-pickleball-basketball-academy-malad/876806,"Inside players turf, Opposite Decathlon, Next to Players turf, New Link road, Malad West, Mumbai",19.187136,72.836416,FALSE,Malad,Western Suburbs
987643,Maniac Pickleball Arena | Vile Parle (West) | GTC,Mumbai,300,https://hudle.in/venues/maniac-pickleball-arena-vile-parle-west-gtc/987643,"I-One Terrace, Swami Vivekananda Road, inside Golden Tobacco, Indira Nagar, Vile Parle West, Mumbai.",19.104951,72.838649,FALSE,Vile Parle,Western Suburbs
761572,Tuff Sports Pickleball Centre,Mumbai,800,https://hudle.in/venues/tuff-sports-pickleball-centre/761572,"RBK School, Kanakaia Rd, Beverly Park, Mira Road East, Mira Bhayandar, Maharashtra 401107, India",19.290865,72.871763,TRUE,Mira Bhayandar,Western Suburbs
